
==================================== Training Configuration ====================================
 ---> Automatic Mixed Precision: False
 ---> Number of used GPU: 1
 ---> Batch size per GPU: 16
 ---> Batch size in total: 16
 ---> Type of Building Block: transformer
 ---> Type of Duration Modeling: unsupervised
 ---> Type of Prosody Modeling: none
=================================================================================================
Prepare training ...
Number of CompTransTTS Parameters: 34824657

Step 100/900000, Total Loss: 14.0261, Mel Loss: 4.0976, Mel PostNet Loss: 3.5799, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 6.3486, Binarization Loss: 0.0000, Prosody Loss: 0.0000
Step 200/900000, Total Loss: 12.6950, Mel Loss: 3.3453, Mel PostNet Loss: 2.8282, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 6.5215, Binarization Loss: 0.0000, Prosody Loss: 0.0000
Step 300/900000, Total Loss: 9.3577, Mel Loss: 2.0561, Mel PostNet Loss: 1.8513, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 5.4504, Binarization Loss: 0.0000, Prosody Loss: 0.0000
Step 400/900000, Total Loss: 7.6761, Mel Loss: 1.2577, Mel PostNet Loss: 1.3305, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 5.0880, Binarization Loss: 0.0000, Prosody Loss: 0.0000
Step 500/900000, Total Loss: 7.0068, Mel Loss: 0.9733, Mel PostNet Loss: 1.0118, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 5.0217, Binarization Loss: 0.0000, Prosody Loss: 0.0000
Step 600/900000, Total Loss: 6.3042, Mel Loss: 0.8388, Mel PostNet Loss: 1.1616, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 4.3039, Binarization Loss: 0.0000, Prosody Loss: 0.0000
Step 700/900000, Total Loss: 6.2376, Mel Loss: 0.7658, Mel PostNet Loss: 0.9034, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 4.5684, Binarization Loss: 0.0000, Prosody Loss: 0.0000
Step 800/900000, Total Loss: 6.5930, Mel Loss: 0.7229, Mel PostNet Loss: 0.7373, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 5.1328, Binarization Loss: 0.0000, Prosody Loss: 0.0000
Step 900/900000, Total Loss: 6.1847, Mel Loss: 0.7506, Mel PostNet Loss: 0.7348, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 4.6993, Binarization Loss: 0.0000, Prosody Loss: 0.0000
Step 1000/900000, Total Loss: 5.8437, Mel Loss: 0.6724, Mel PostNet Loss: 0.7049, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 4.4663, Binarization Loss: 0.0000, Prosody Loss: 0.0000
Validation Step 1000, Total Loss: 5.4419, Mel Loss: 0.6380, Mel PostNet Loss: 0.6665, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 4.1375, Binarization Loss: 0.0000, Prosody Loss: 0.0000
Step 1100/900000, Total Loss: 5.4552, Mel Loss: 0.6627, Mel PostNet Loss: 0.6792, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 4.1133, Binarization Loss: 0.0000, Prosody Loss: 0.0000
Step 1200/900000, Total Loss: 5.2837, Mel Loss: 0.6209, Mel PostNet Loss: 0.6465, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 4.0163, Binarization Loss: 0.0000, Prosody Loss: 0.0000
Step 1300/900000, Total Loss: 5.3899, Mel Loss: 0.6252, Mel PostNet Loss: 0.6501, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 4.1146, Binarization Loss: 0.0000, Prosody Loss: 0.0000
Step 1400/900000, Total Loss: 5.1783, Mel Loss: 0.6271, Mel PostNet Loss: 0.6336, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 3.9175, Binarization Loss: 0.0000, Prosody Loss: 0.0000
Step 1500/900000, Total Loss: 4.8368, Mel Loss: 0.6052, Mel PostNet Loss: 0.6236, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 3.6079, Binarization Loss: 0.0000, Prosody Loss: 0.0000
Step 1600/900000, Total Loss: 4.2424, Mel Loss: 0.5889, Mel PostNet Loss: 0.6805, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 2.9730, Binarization Loss: 0.0000, Prosody Loss: 0.0000
Step 1700/900000, Total Loss: 4.1380, Mel Loss: 0.6094, Mel PostNet Loss: 0.6515, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 2.8771, Binarization Loss: 0.0000, Prosody Loss: 0.0000
Step 1800/900000, Total Loss: 3.8783, Mel Loss: 0.5719, Mel PostNet Loss: 0.6304, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 2.6760, Binarization Loss: 0.0000, Prosody Loss: 0.0000
Step 1900/900000, Total Loss: 3.9135, Mel Loss: 0.5604, Mel PostNet Loss: 0.5825, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 2.7706, Binarization Loss: 0.0000, Prosody Loss: 0.0000
Step 2000/900000, Total Loss: 3.7637, Mel Loss: 0.5869, Mel PostNet Loss: 0.6015, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 2.5753, Binarization Loss: 0.0000, Prosody Loss: 0.0000
Validation Step 2000, Total Loss: 4.2256, Mel Loss: 0.5518, Mel PostNet Loss: 0.5586, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 3.1152, Binarization Loss: 0.0000, Prosody Loss: 0.0000
